Catalogo;Curso;NivelCurso;Disciplina
1969;5;G;Q 511
1969;5;G;Q 521
1969;5;G;Q 531
1969;5;G;Q 541
1969;5;G;Q 611
1969;5;G;Q 621
1969;5;G;Q 631
1969;5;G;Q 641
1969;5;G;Q 711
1969;5;G;Q 752
1969;5;G;Q 761
1969;5;G;Q 861
1969;10;G;EH422
1969;10;G;EH510
1969;10;G;EH610
1969;10;G;EH620
1969;10;G;EH720
1969;10;G;EH741
1969;10;G;EH744
1969;10;G;EH810
1969;10;G;EH841
1969;10;G;EH910
1969;10;G;EM060
1969;10;G;EM070
1969;10;G;EM310
1969;10;G;EM410
1969;10;G;EM421
1969;10;G;EM501
1969;10;G;EM523
1969;10;G;EM525
1969;10;G;EM530
1969;10;G;EM540
1969;10;G;EM623
1969;10;G;EM630
1969;10;G;EM640
1969;10;G;EM660
1969;10;G;EM721
1969;10;G;EM751
1969;10;G;EM760
1969;10;G;EM780
1969;10;G;EM821
1969;10;G;EM835
1969;10;G;EM851
1969;10;G;EM880
1969;10;G;EM881
1969;10;G;EM950
1969;10;G;EM970
1969;10;G;EM971
1969;10;G;EM980
1969;10;G;ET711
1969;10;G;ET811
1969;10;G;F 101
1969;10;G;F 102
1969;10;G;F 201
1969;10;G;F 202
1969;10;G;F 301
1969;10;G;F 302
1969;10;G;F 311
1969;10;G;F 401
1969;10;G;F 402
1969;10;G;F 411
1969;10;G;H 781
1969;10;G;H 881
1969;10;G;MA101
1969;10;G;MA141
1969;10;G;MA142
1969;10;G;MA201
1969;10;G;MA221
1969;10;G;MA301
1969;10;G;MA401
1969;10;G;MA501
1969;10;G;MC111
1969;10;G;ME203
1969;10;G;ME651
1969;10;G;MS211
1969;10;G;PB701
1969;10;G;PB801
1969;10;G;Q 101
1969;10;G;Q 102
1969;10;G;Q 201
1969;10;G;Q 202
1969;11;G;F 101
1969;11;G;F 102
1969;11;G;F 201
1969;11;G;F 202
1969;11;G;F 301
1969;11;G;F 302
1969;11;G;F 401
1969;11;G;F 402
1969;12;G;EC009
1969;12;G;EC011
1969;12;G;EC021
1969;12;G;EC022
1969;12;G;EC025
1969;12;G;EC142
1969;12;G;EC306
1969;12;G;EC402
1969;12;G;EC403
1969;12;G;EC421
1969;12;G;EC504
1969;12;G;EC505
1969;12;G;EC506
1969;12;G;EC507
1969;12;G;EC511
1969;12;G;EC512
1969;12;G;EC521
1969;12;G;EC604
1969;12;G;EC605
1969;12;G;EC611
1969;12;G;EC612
1969;12;G;EC621
1969;12;G;EC623
1969;12;G;EC702
1969;12;G;EC704
1969;12;G;EC711
1969;12;G;EC712
1969;12;G;EC715
1969;12;G;EC722
1969;12;G;EC723
1969;12;G;EC802
1969;12;G;EC804
1969;12;G;EC811
1969;12;G;EC822
1969;12;G;EC823
1969;12;G;EC902
1969;12;G;EC904
1969;12;G;EC905
1969;12;G;EC906
1969;12;G;EC924
1969;12;G;EC929
1969;12;G;F 101
1969;12;G;F 102
1969;12;G;F 201
1969;12;G;F 202
1969;12;G;F 301
1969;12;G;F 302
1969;12;G;F 311
1969;12;G;F 411
1969;12;G;MA101
1969;12;G;MA141
1969;12;G;MA142
1969;12;G;MA201
1969;12;G;MA221
1969;12;G;MA301
1969;12;G;MA325
1969;12;G;MC111
1969;12;G;ME203
1969;12;G;MS211
1969;12;G;Q 101
1969;12;G;Q 102
1969;13;G;EM212
1969;13;G;EM310
1969;13;G;EM421
1969;13;G;ET713
1969;13;G;F 101
1969;13;G;F 102
1969;13;G;F 201
1969;13;G;F 202
1969;13;G;F 301
1969;13;G;F 302
1969;13;G;MA101
1969;13;G;MA141
1969;13;G;MA142
1969;13;G;MA201
1969;13;G;MA302
1969;13;G;MC111
1969;13;G;ME203
1969;13;G;Q 101
1969;13;G;Q 102
1969;13;G;Q 201
1969;13;G;Q 202
1969;13;G;Q 311
1969;13;G;Q 312
1969;13;G;Q 313
1969;13;G;Q 314
1969;13;G;Q 315
1969;13;G;Q 321
1969;13;G;Q 322
1969;13;G;Q 331
1969;13;G;Q 413
1969;13;G;Q 414
1969;13;G;Q 421
1969;13;G;Q 431
1969;13;G;Q 511
1969;13;G;Q 512
1969;13;G;TA010
1969;13;G;TA025
1969;13;G;TA036
1969;13;G;TA414
1969;13;G;TA511
1969;13;G;TA518
1969;13;G;TA532
1969;13;G;TA612
1969;13;G;TA617
1969;13;G;TA618
1969;13;G;TA624
1969;13;G;TA633
1969;13;G;TA712
1969;13;G;TA713
1969;13;G;TA718
1969;13;G;TA724
1969;13;G;TA733
1969;13;G;TA813
1969;13;G;TA818
1969;13;G;TA820
1969;13;G;TA821
1969;13;G;TA823
1969;13;G;TA825
1969;13;G;TA834
1969;13;G;TA921
